dbcellid,x,y,z,goog14r0seg1_baseid,google_aggloid,dbcelltype,dbsubcelltype,dbsubcelltype2,dbsubcelltype3,nrvoxels,circulardepth
49363,0,0,0,0,0,UNKNOWN0,0,0,0,0,780
49364,0,0,0,0,0,UNKNOWN0,0,0,0,0,780
49365,0,0,0,0,0,UNKNOWN0,0,0,0,0,780
49366,0,0,0,0,0,UNKNOWN0,0,0,0,0,780
49367,0,0,0,0,0,UNKNOWN0,0,0,0,0,780
49368,0,0,0,0,0,UNKNOWN0,0,0,0,0,780
49369,0,0,0,0,0,UNKNOWN0,0,0,0,0,780
49370,0,0,0,0,0,UNKNOWN0,0,0,0,0,780
49371,0,0,0,0,0,UNKNOWN0,0,0,0,0,780
49372,0,0,0,0,0,UNKNOWN0,0,0,0,0,780
49373,0,0,0,0,0,UNKNOWN0,0,0,0,0,780
49374,0,0,0,0,0,UNKNOWN0,0,0,0,0,780
36167,334046,102775,0,0,0,PYRAMIDAL,0,0,0,256,918
4702,173580,201477,0,5579334176,5579334176,UNCLASSIFIEDNEURON,0,0,0,768,2350
7469,248108,170760,0,4577384303,4577384303,UNKNOWN2,0,0,0,258,1789
36165,332066,99901,0,1872623538,2221907190,UNCLASSIFIEDNEURON,16,0,0,258,914
43352,320388,56535,0,329473037,518394751,PYRAMIDAL,0,0,0,258,721
70,252217,157717,0,3878434783,4140785655,UNCLASSIFIEDNEURON,16,0,0,516,1691
3939,235519,121325,0,0,0,OLIGO,0,0,0,5,1543
9,261276,167076,0,4403223577,4403223577,UNKNOWN2,1,0,0,517,1694
2812,165734,214104,0,5171280143,6001333651,UNKNOWN2,0,0,0,262,2469
7926,248170,130637,0,3034439594,3034439594,PYRAMIDAL,0,0,0,262,1545
36132,327609,133276,0,0,0,OLIGO,0,0,0,8,1119
4452,210348,199403,0,5086273205,5522346494,UNCLASSIFIEDNEURON,0,0,0,264,2163
1461,192286,188530,0,5157819297,5172345933,ASTROCYTE,0,0,0,265,2182
7901,249259,139493,0,2815862747,3412824762,UNKNOWN2,0,0,0,777,1595
15548,250765,102391,0,1855788018,2044652409,PYRAMIDAL,0,0,0,1033,1349
28275,144847,215286,0,3950855757,6044173476,PYRAMIDAL,0,0,256,1033,2552
1101,213367,173161,0,4285598280,4634416971,UNCLASSIFIEDNEURON,0,0,0,266,1984
32169,149332,206304,0,5578867584,5724337188,UNCLASSIFIEDNEURON,0,0,16,522,2472
33117,183310,213889,0,0,0,OLIGO,0,0,0,11,2389
23120,307568,74186,0,0,0,PYRAMIDAL,0,0,0,267,895
